entry	name	body_size
006db694	DelayLoad_GdipWarpPath	1
006db6ac	DelayLoad_GdipTransformPath	1
006db6c4	DelayLoad_GdipGetPathWorldBounds	1
006db6dc	DelayLoad_GdipGetPathWorldBoundsI	1
006db6f4	DelayLoad_GdipIsVisiblePathPoint	1
006db70c	DelayLoad_GdipIsVisiblePathPointI	1
006db724	DelayLoad_GdipIsOutlineVisiblePathPoint	1
006db73c	DelayLoad_GdipIsOutlineVisiblePathPointI	1
006db754	DelayLoad_GdipCreateMatrix	1
006db76c	DelayLoad_GdipCreateMatrix2	1
006db784	DelayLoad_GdipCreateMatrix3	1
006db79c	DelayLoad_GdipCreateMatrix3I	1
006db7b4	DelayLoad_GdipCloneMatrix	1
006db7cc	DelayLoad_GdipDeleteMatrix	1
006db7e4	DelayLoad_GdipSetMatrixElements	1
006db7fc	DelayLoad_GdipMultiplyMatrix	1
006db814	DelayLoad_GdipTranslateMatrix	1
006db82c	DelayLoad_GdipScaleMatrix	1
006db844	DelayLoad_GdipRotateMatrix	1
006db85c	DelayLoad_GdipShearMatrix	1
006db874	DelayLoad_GdipInvertMatrix	1
006db88c	DelayLoad_GdipTransformMatrixPoints	1
006db8a4	DelayLoad_GdipTransformMatrixPointsI	1
006db8bc	DelayLoad_GdipVectorTransformMatrixPoints	1
006db8d4	DelayLoad_GdipVectorTransformMatrixPointsI	1
006db8ec	DelayLoad_GdipGetMatrixElements	1
006db904	DelayLoad_GdipIsMatrixInvertible	1
006db91c	DelayLoad_GdipIsMatrixIdentity	1
006db934	DelayLoad_GdipIsMatrixEqual	1
006db94c	DelayLoad_GdipCreateRegion	1
006db964	DelayLoad_GdipCreateRegionRect	1
006db97c	DelayLoad_GdipCreateRegionRectI	1
006db994	DelayLoad_GdipCreateRegionPath	1
006db9ac	DelayLoad_GdipCreateRegionRgnData	1
006db9c4	DelayLoad_GdipCreateRegionHrgn	1
006db9dc	DelayLoad_GdipCloneRegion	1
006db9f4	DelayLoad_GdipDeleteRegion	1
